Handle,Title,Body (HTML),Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src
HS_PA01-035,Pink Paisley,"<ul><li>80% Combed Cotton, 17% Polyamide, 3% Elastane</li><li>Fits men's shoe size 7-13.</li><li>Style#PA01-035</li><li>Designed in Sweden. Made in Turkey.",Happy Socks,All,"Fashion Socks,Fun Socks,Happy Socks,Print,PaisleyCrew,Pink,Cotton,Men,New",Default Title,Default Title,,,,,HS_PA01-035,2,Shopify,24,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/PA01-035.jpg
HS_PA01-479,Holiday Paisley,"<ul><li>80% Combed Cotton, 17% Polyamide, 3% Elastane</li><li>Fits men's shoe size 7-13.</li><li>Style#PA01-479</li><li>Designed in Sweden. Made in Turkey.",Happy Socks,All,"Fashion Socks,Fun Socks,Happy Socks,Print,Crew,Red,Cotton,Men,New",Default Title,Default Title,,,,,HS_PA01-479,2,Shopify,24,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/PA01-479.jpg
HS_OP01-705,Optic Green,"<ul><li>80% Combed Cotton, 17% Polyamide, 3% Elastane</li><li>Fits men's shoe size 7-13.</li><li>Style#OP01-705</li><li>Designed in Sweden. Made in Turkey.",Happy Socks,All,"Fun Socks,Happy Socks,Blocks,Print,Crew,Green,Cotton,Men,New",Default Title,Default Title,,,,,HS_OP01-705,2,Shopify,24,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/OP01-705.jpg
HS_MS01-063,Eclectic Blue,"<ul><li>80% Combed Cotton, 17% Polyamide, 3% Elastane</li><li>Fits men's shoe size 7-13.</li><li>Style#MS01-063</li><li>Designed in Sweden. Made in Turkey.",Happy Socks,All,"Fashion Socks,Fun Socks,Happy Socks,Print,Crew,Blue,Cotton,Men,New",Default Title,Default Title,,,,,HS_MS01-063,2,Shopify,18,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/MS01-063.jpg
KB_1960M-Black,Puzzled,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#1960M-Black</li><li>Made in Korea.",K.Bell,All,"Fun Socks,Dress Socks,K.Bell,Print,Crew,Black,Cotton,Men,New",Default Title,Default Title,,,,,KB_1960M-Black,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/1960M-Black.jpg
KB_1953M-Black,Grinding Gears,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#1953M-Black</li><li>Made in Korea.",K.Bell,All,"Fun Socks,Dress Socks,K.Bell,Print,Crew,Black,Cotton,Men,New",Default Title,Default Title,,,,,KB_1953M-Black,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/1953M-Black.jpg
KB_1933M-Dkred,Crazy Blocks,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#1933M-Dkred</li><li>Made in Korea.",K.Bell,All,"Fashion Socks,Fun Socks,K.Bell,Blocks,Crew,Red,Yellow,Cotton,Men,New",Default Title,Default Title,,,,,KB_1933M-Dkred,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/1933M-Dkred.jpg
KB_1942M-Bkred,Black Ravioli,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#1942M-Bkred</li><li>Made in Korea.",K.Bell,All,"Fashion Socks,Dress Socks,K.Bell,Blocks,Print,Crew,Black,Red,Cotton,Men,New",Default Title,Default Title,,,,,KB_1942M-Bkred,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/1942M-Bkred.jpg
KB_61655M-Black,Mind Games,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#61655M-Black</li><li>Made in Korea.",K.Bell,All,"Fun Socks,Dress Socks,K.Bell,Print,Crew,Black,Cotton,Men,New",Default Title,Default Title,,,,,KB_61655M-Black,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/61655M-Black.jpg
KB_66913M-Black,Pink Pipes,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#66913M-Black</li><li>Made in Korea.",K.Bell,All,"Fashion Socks,Dress Socks,K.Bell,Stripes,Crew,Purple,Pink,Cotton,Men,New",Default Title,Default Title,,,,,KB_66913M-Black,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/66913M-Black.jpg
KB_66913M-Tourmalin,Green Pipes,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#66913M-Tourmalin</li><li>Made in Korea.",K.Bell,All,"Fashion Socks,Dress Socks,K.Bell,Stripes,Crew,Green,Brown,Cotton,Men,New",Default Title,Default Title,,,,,KB_66913M-Tourmalin,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/66913M-Tourmalin.jpg
KB_65772M-Chrhr,Grandpa Plaid,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#65772M-Chrhr</li><li>Made in Korea.",K.Bell,All,"Dress Socks,K.Bell,Blocks,Crew,Gray,Cotton,Men,New",Default Title,Default Title,,,,,KB_65772M-Chrhr,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/65772M-Chrhr.jpg
KB_1970M-Redturq,Two Tone Dots,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#1970M-Redturq</li><li>Made in Korea.",K.Bell,All,"Fashion Socks,Fun Socks,K.Bell,Dots,Crew,Blue,Red,Cotton,Men,New",Default Title,Default Title,,,,,KB_1970M-Redturq,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/1970M-Redturq.jpg
